1
0
black,rook,a8,-1
black,knight,b8,-1
black,bishop,c8,-1
black,queen,d8,-1
black,king,e8,-1
black,bishop,f8,-1
black,knight,g8,-1
black,rook,h8,-1
black,pawn,a7,-1
black,pawn,b7,-1
black,pawn,c7,-1
black,pawn,d7,-1
black,pawn,e7,-1
black,pawn,f7,-1
black,pawn,g7,-1
black,pawn,h7,-1
white,pawn,a2,-1
white,pawn,b2,-1
white,pawn,c2,-1
white,pawn,d2,-1
white,pawn,e2,-1
white,pawn,f2,-1
white,pawn,g2,-1
white,pawn,h2,-1
white,rook,a1,-1
white,knight,b1,-1
white,bishop,c1,-1
white,queen,d1,-1
white,king,e1,-1
white,bishop,f1,-1
white,knight,g1,-1
white,rook,h1,-1
